SMAP_L3_SM_P_E_20150426_R17000_001.soil_moisture,SPL3SMP_E,A2015116,Lat13.474722Lon30.806389Samp1Line1,2021145224551,0.02000004,0.02000001,0.01999998,0.02000001,0.02000001,0.02000001,0.02000001,0.02000004,0.02000001
SMAP_L3_SM_P_E_20150427_R17000_001.soil_moisture,SPL3SMP_E,A2015117,Lat13.474722Lon30.806389Samp1Line1,2021145224551,F,F,F,F,F,F,F,F,F
SMAP_L3_SM_P_E_20150428_R17000_001.soil_moisture,SPL3SMP_E,A2015118,Lat13.474722Lon30.806389Samp1Line1,2021145224551,F,F,F,F,F,F,F,F,F
SMAP_L3_SM_P_E_20150429_R17000_001.soil_moisture,SPL3SMP_E,A2015119,Lat13.474722Lon30.806389Samp1Line1,2021145224552,0.02000004,0.02000001,0.01999998,0.02000001,0.02000001,0.02000001,0.02000001,0.02000004,0.02000001
SMAP_L3_SM_P_E_20150430_R17000_001.soil_moisture,SPL3SMP_E,A2015120,Lat13.474722Lon30.806389Samp1Line1,2021145224552,F,F,F,F,F,F,F,F,F
SMAP_L3_SM_P_E_20150501_R17000_001.soil_moisture,SPL3SMP_E,A2015121,Lat13.474722Lon30.806389Samp1Line1,2021145224552,0.02000004,0.022821236,0.026642546,0.02000001,0.024343405,0.023426153,0.02000001,0.02000004,0.020333575
SMAP_L3_SM_P_E_20150502_R17000_001.soil_moisture,SPL3SMP_E,A2015122,Lat13.474722Lon30.806389Samp1Line1,2021145224553,F,F,F,F,F,F,F,F,F
SMAP_L3_SM_P_E_20150503_R17000_001.soil_moisture,SPL3SMP_E,A2015123,Lat13.474722Lon30.806389Samp1Line1,2021145224553,F,F,F,F,F,F,F,F,F
SMAP_L3_SM_P_E_20150504_R17000_001.soil_moisture,SPL3SMP_E,A2015124,Lat13.474722Lon30.806389Samp1Line1,2021145224554,0.026626797,0.02169175,0.023034526,0.021159083,0.020105008,0.023928523,0.02000001,0.02000004,0.02000001
SMAP_L3_SM_P_E_20150505_R17000_001.soil_moisture,SPL3SMP_E,A2015125,Lat13.474722Lon30.806389Samp1Line1,2021145224555,F,F,F,F,F,F,F,F,F
SMAP_L3_SM_P_E_20150506_R17000_001.soil_moisture,SPL3SMP_E,A2015126,Lat13.474722Lon30.806389Samp1Line1,2021145224556,F,F,F,F,F,F,F,F,F
SMAP_L3_SM_P_E_20150507_R17000_001.soil_moisture,SPL3SMP_E,A2015127,Lat13.474722Lon30.806389Samp1Line1,2021145224557,0.020179087,0.02000001,0.01999998,0.02000001,0.02000001,0.02000001,0.02000001,0.02000004,0.02000001
SMAP_L3_SM_P_E_20150508_R17000_001.soil_moisture,SPL3SMP_E,A2015128,Lat13.474722Lon30.806389Samp1Line1,2021145224557,F,F,F,F,F,F,F,F,F
SMAP_L3_SM_P_E_20150509_R17000_001.soil_moisture,SPL3SMP_E,A2015129,Lat13.474722Lon30.806389Samp1Line1,2021145224558,0.02000004,0.02000001,0.01999998,0.02000001,0.02000001,0.02000001,0.02000001,0.02000004,0.02000001
SMAP_L3_SM_P_E_20150510_R17000_001.soil_moisture,SPL3SMP_E,A2015130,Lat13.474722Lon30.806389Samp1Line1,2021145224558,F,F,F,F,F,F,F,F,F
SMAP_L3_SM_P_E_20150511_R17000_001.soil_moisture,SPL3SMP_E,A2015131,Lat13.474722Lon30.806389Samp1Line1,2021145224558,F,F,F,F,F,F,F,F,F
SMAP_L3_SM_P_E_20150512_R17000_002.soil_moisture,SPL3SMP_E,A2015132,Lat13.474722Lon30.806389Samp1Line1,2021145224559,0.02000004,0.02000001,0.01999998,0.02000001,0.02000001,0.02000001,0.02000001,0.02000004,0.02000001
SMAP_L3_SM_P_E_20150514_R17000_002.soil_moisture,SPL3SMP_E,A2015134,Lat13.474722Lon30.806389Samp1Line1,2021145224559,F,F,F,F,F,F,F,F,F
SMAP_L3_SM_P_E_20150515_R17000_001.soil_moisture,SPL3SMP_E,A2015135,Lat13.474722Lon30.806389Samp1Line1,2021145224559,F,F,F,F,F,F,F,F,F
SMAP_L3_SM_P_E_20150516_R17000_001.soil_moisture,SPL3SMP_E,A2015136,Lat13.474722Lon30.806389Samp1Line1,2021145224600,F,F,F,F,F,F,F,F,F
SMAP_L3_SM_P_E_20150517_R17000_001.soil_moisture,SPL3SMP_E,A2015137,Lat13.474722Lon30.806389Samp1Line1,2021145224600,0.02000004,0.02000001,0.01999998,0.02000001,0.02000001,0.02013482,0.02000001,0.02000004,0.021369906
SMAP_L3_SM_P_E_20150518_R17000_001.soil_moisture,SPL3SMP_E,A2015138,Lat13.474722Lon30.806389Samp1Line1,2021145224600,F,F,F,F,F,F,F,F,F
SMAP_L3_SM_P_E_20150519_R17000_001.soil_moisture,SPL3SMP_E,A2015139,Lat13.474722Lon30.806389Samp1Line1,2021145224601,F,F,F,F,F,F,F,F,F
SMAP_L3_SM_P_E_20150520_R17000_001.soil_moisture,SPL3SMP_E,A2015140,Lat13.474722Lon30.806389Samp1Line1,2021145224601,0.02000004,0.02000001,0.01999998,0.02000001,0.02000001,0.02000001,0.02000001,0.02000004,0.02000001
SMAP_L3_SM_P_E_20150521_R17000_001.soil_moisture,SPL3SMP_E,A2015141,Lat13.474722Lon30.806389Samp1Line1,2021145224602,F,F,F,F,F,F,F,F,F
SMAP_L3_SM_P_E_20150522_R17000_001.soil_moisture,SPL3SMP_E,A2015142,Lat13.474722Lon30.806389Samp1Line1,2021145224602,F,F,F,F,F,F,F,F,F
SMAP_L3_SM_P_E_20150523_R17000_001.soil_moisture,SPL3SMP_E,A2015143,Lat13.474722Lon30.806389Samp1Line1,2021145224603,0.02000004,0.02000001,0.020505344,0.02000001,0.02000001,0.02000001,0.02000001,0.02000004,0.020712025
SMAP_L3_SM_P_E_20150524_R17000_001.soil_moisture,SPL3SMP_E,A2015144,Lat13.474722Lon30.806389Samp1Line1,2021145224604,F,F,F,F,F,F,F,F,F
SMAP_L3_SM_P_E_20150525_R17000_002.soil_moisture,SPL3SMP_E,A2015145,Lat13.474722Lon30.806389Samp1Line1,2021145224604,0.02000004,0.02000001,0.01999998,0.02000001,0.02000001,0.02000001,0.02000001,0.02000004,0.02000001
SMAP_L3_SM_P_E_20150526_R17000_001.soil_moisture,SPL3SMP_E,A2015146,Lat13.474722Lon30.806389Samp1Line1,2021145224604,F,F,F,F,F,F,F,F,F
SMAP_L3_SM_P_E_20150527_R17000_001.soil_moisture,SPL3SMP_E,A2015147,Lat13.474722Lon30.806389Samp1Line1,2021145224605,F,F,F,F,F,F,F,F,F
